ORIGEN;DESTINO
CARTAGENA;BOGOTA
CARTAGENA;BAHIA SOLANO
CARTAGENA;RIONEGRO - ANTIOQUIA
CUCUTA;BOGOTA
EL BAGRE;MEDELLIN
BARRANCABERMEJA;MEDELLIN
MEDELLIN;ACANDI
MEDELLIN;BOGOTA
MEDELLIN;BAHIA SOLANO
MEDELLIN;CARTAGO
MEDELLIN;CONDOTO
MEDELLIN;CAPURGANA
MEDELLIN;CARTAGENA
MEDELLIN;EL BAGRE
MEDELLIN;BARRANCABERMEJA
MEDELLIN;MEDELLIN
MEDELLIN;RIONEGRO - ANTIOQUIA
MEDELLIN;MONTELIBANO
MEDELLIN;NUQUI
MEDELLIN;PUERTO BERRIO
MEDELLIN;PEREIRA
MEDELLIN;SAN GIL
MEDELLIN;SAN PEDRO
EL YOPAL;BOGOTA
FLORENCIA;BOGOTA
FLORENCIA;FLANDES
FLANDES;BOGOTA
FLANDES;NEIVA
IBAGUE;BOGOTA
ALDANA;CALI
LA CHORRERA;SAN JOSE DEL GUAVIARE
LETICIA;BOGOTA
LETICIA;LA CHORRERA
LETICIA;LETICIA
LOMA DE CHIRIGUANA;LA JAGUA IBIRICO
LOMA DE CHIRIGUANA;EL CHARCO
LOMA DE CHIRIGUANA;VALLEDUPAR
LA MACARENA;BOGOTA
EL CHARCO;LOMA DE CHIRIGUANA
EL CHARCO;VALLEDUPAR
RIONEGRO - ANTIOQUIA;BOGOTA
RIONEGRO - ANTIOQUIA;CARTAGENA
RIONEGRO - ANTIOQUIA;MEDELLIN
MONTELIBANO;MEDELLIN
MONTERIA;RIONEGRO - ANTIOQUIA
NUQUI;CARTAGO
NUQUI;MEDELLIN
NEIVA;BOGOTA
NEIVA;MEDELLIN
PUERTO BERRIO;MEDELLIN
PUERTO CARRENO;BOGOTA
PEREIRA;BOGOTA
PEREIRA;MEDELLIN
PUERTO GAITAN;BOGOTA
PUERTO GAITAN;VILLAVICENCIO
PITALITO;BOGOTA
PANAMA;CARTAGENA
PUERTO ASIS;BOGOTA
PUERTO ASIS;CUCUTA
PROVIDENCIA;SAN ANDRES
RIOHACHA;BOGOTA
SARAVENA;BOGOTA
SANTIAGO;BOGOTA
SAN GIL;BOGOTA
SAN GIL;MEDELLIN
SAN JOSE DEL GUAVIARE;BOGOTA
SAN JUAN;BOGOTA
SANTA MARTA;BOGOTA
SANTA MARTA;LOMA DE CHIRIGUANA
SAN PEDRO;MEDELLIN
TACHIRA;BOGOTA
LETICIA;LETICIA
TAME;BOGOTA
QUIBDO;BAHIA SOLANO
QUITO;CALI
VILLA GARZON;BOGOTA
VILLANUEVA - CASANARE;BOGOTA
VALLEDUPAR;BARRANQUILLA
VALLEDUPAR;LOMA DE CHIRIGUANA
VILLAVICENCIO;BOGOTA
VILLAVICENCIO;PUERTO GAITAN
LA MACARENA;VILLAVICENCIO
VILLAVICENCIO;LA MACARENA
BUENAVENTURA;CALI
BAJO BAUDO;CALI
BOGOTA;BAHIA SOLANO
BOGOTA;CALI
BOGOTA;FLORENCIA
BOGOTA;IBAGUE
BOGOTA;LA MACARENA
BOGOTA;MONTERIA
BOGOTA;PUERTO GAITAN
BOGOTA;QUIBDO
BOGOTA;VILLAVICENCIO
BAHIA SOLANO;BAJO BAUDO
BAHIA SOLANO;BOGOTA
BAHIA SOLANO;CALI
BAHIA SOLANO;NUQUI
CARTAGO;CALI
CALI;BAJO BAUDO
CALI;BOGOTA
CALI;BAHIA SOLANO
CALI;CALI
CALI;GUAPI
CALI;IBAGUE
CALI;LA MACARENA
CALI;LOPEZ (MICAY)
CALI;NUQUI
CALI;TIMBIQUI
CALI;QUIBDO
BARRANCABERMEJA;BOGOTA
EL YOPAL;BAHIA SOLANO
FLORENCIA;IBAGUE
GUAPI;CALI
GUAPI;POPAYAN
IBAGUE;BOGOTA
LA MACARENA;BOGOTA
LA MACARENA;CALI
LOPEZ (MICAY);CALI
LOPEZ (MICAY);POPAYAN
MONTERIA;EL YOPAL
NUQUI;BAHIA SOLANO
NUQUI;CARTAGO
NUQUI;CALI
NUQUI;QUIBDO
PUERTO GAITAN;BOGOTA
PUERTO GAITAN;BARRANCABERMEJA
PUERTO GAITAN;VILLAVICENCIO
POPAYAN;GUAPI
POPAYAN;LOPEZ (MICAY)
POPAYAN;TIMBIQUI
TIMBIQUI;CALI
TIMBIQUI;POPAYAN
QUIBDO;BUENAVENTURA
QUIBDO;BAHIA SOLANO
QUIBDO;NUQUI
VILLAVICENCIO;BOGOTA
VILLAVICENCIO;PUERTO GAITAN
BAJO BAUDO;MEDELLIN
BAHIA SOLANO;CARTAGO
BAHIA SOLANO;CALI
BAHIA SOLANO;MEDELLIN
BAHIA SOLANO;NUQUI
BAHIA SOLANO;QUIBDO
CAUCASIA;MEDELLIN
CAUCASIA;RIONEGRO - ANTIOQUIA
CARTAGO;BAHIA SOLANO
CALI;BAHIA SOLANO
EL BAGRE;MEDELLIN
MEDELLIN;BAJO BAUDO
MEDELLIN;BAHIA SOLANO
MEDELLIN;CAUCASIA
MEDELLIN;EL BAGRE
MEDELLIN;MEDELLIN
MEDELLIN;NUQUI
MEDELLIN;QUIBDO
RIONEGRO - ANTIOQUIA;MEDELLIN
NUQUI;BAHIA SOLANO
NUQUI;MEDELLIN
NUQUI;QUIBDO
QUIBDO;BAHIA SOLANO
QUIBDO;MEDELLIN
QUIBDO;NUQUI
SANTA ROSA DEL SUR;MEDELLIN
BUCARAMANGA;BUCARAMANGA
BUCARAMANGA;BARRANCABERMEJA
BUCARAMANGA;MEDELLIN
BAHIA SOLANO;BAHIA SOLANO
AYAPEL;MEDELLIN
CARTAGO;BUCARAMANGA
BAHIA SOLANO;MEDELLIN
BARRANCABERMEJA;BUCARAMANGA
MEDELLIN;SANTA ROSA DEL SUR
MEDELLIN;BUCARAMANGA
MEDELLIN;BAHIA SOLANO
MEDELLIN;AYAPEL
MEDELLIN;CARTAGO
MEDELLIN;BAHIA SOLANO
MEDELLIN;MEDELLIN
MEDELLIN;NUQUI
MEDELLIN;REMEDIOS
MEDELLIN;URRAO
MEDELLIN;VIGIA DEL FUERTE
NUQUI;MEDELLIN
NUQUI;QUIBDO
REMEDIOS;MEDELLIN
QUIBDO;MEDELLIN
QUIBDO;NUQUI
URRAO;MEDELLIN
VIGIA DEL FUERTE;MEDELLIN
ACANDI;MEDELLIN
BARRANQUILLA;MEDELLIN
BUCARAMANGA;MEDELLIN
BAHIA SOLANO;MEDELLIN
CARTAGO;BAHIA SOLANO
CARTAGO;MEDELLIN
CARTAGO;NUQUI
CALI;CARTAGO
CALI;MEDELLIN
CONDOTO;MEDELLIN
BARRANCABERMEJA;MEDELLIN
MEDELLIN;ACANDI
MEDELLIN;BARRANQUILLA
MEDELLIN;BUCARAMANGA
MEDELLIN;BAHIA SOLANO
MEDELLIN;CARTAGO
MEDELLIN;CALI
MEDELLIN;CONDOTO
MEDELLIN;BARRANCABERMEJA
MEDELLIN;MEDELLIN
MEDELLIN;MONTELIBANO
MEDELLIN;NUQUI
MEDELLIN;PUERTO BERRIO
MEDELLIN;TOLU
MEDELLIN;QUIBDO
MEDELLIN;URRAO
MONTELIBANO;MEDELLIN
NUQUI;CARTAGO
NUQUI;MEDELLIN
NUQUI;QUIBDO
PUERTO BERRIO;BARRANCABERMEJA
PUERTO BERRIO;MEDELLIN
TOLU;MEDELLIN
QUIBDO;MEDELLIN
QUIBDO;NUQUI
URRAO;MEDELLIN
SAN FELIPE;PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);VILLAVICENCIO
EL YOPAL;VILLAVICENCIO
CHIA;VILLAVICENCIO
PUERTO INIRIDA;SAN FELIPE
PUERTO INIRIDA;GUAINIA (BARRANCO MINAS)
LA MACARENA;CHIA
LA MACARENA;VILLAVICENCIO
LA PRIMAVERA;VILLAVICENCIO
MAPIRIPAN;LA MACARENA
MAPIRIPAN;VILLAVICENCIO
PUERTO CARRENO;VILLAVICENCIO
LA PRIMAVERA;PUERTO CARRENO
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
VILLAVICENCIO;GUAINIA (BARRANCO MINAS)
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;CHIA
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;MAPIRIPAN
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;VILLAVICENCIO
CHAPARRAL;CHIA
CHIA;CHAPARRAL
CHIA;QUIBDO
QUIBDO;CHAPARRAL
QUIBDO;CHIA
BAHIA SOLANO;MEDELLIN
CAUCASIA;MEDELLIN
CAUCASIA;RIONEGRO - ANTIOQUIA
CAPURGANA;MEDELLIN
CAPURGANA;MONTERIA
MEDELLIN;BAHIA SOLANO
MEDELLIN;CAUCASIA
MEDELLIN;CAPURGANA
MEDELLIN;MEDELLIN
MEDELLIN;NECOCLI
MEDELLIN;NUQUI
RIONEGRO - ANTIOQUIA;MEDELLIN
MONTERIA;CAPURGANA
NECOCLI;MEDELLIN
NUQUI;MEDELLIN
CAUCASIA;CALI
CALI;CAUCASIA
CALI;MEDELLIN
CALI;GUAPI
CALI;IBAGUE
CALI;ALDANA
CALI;MANIZALES
CALI;NUQUI
CALI;POPAYAN
CALI;PASTO
CALI;TIMBIQUI
CALI;TUMACO
MEDELLIN;CALI
GUAPI;CALI
IBAGUE;CALI
ALDANA;CALI
MANIZALES;CALI
NUQUI;CALI
POPAYAN;CALI
PASTO;CALI
TIMBIQUI;CALI
TUMACO;CALI
BAJO BAUDO;MEDELLIN
BAHIA SOLANO;MEDELLIN
BAHIA SOLANO;QUIBDO
CAUCASIA;MEDELLIN
CARTAGO;MEDELLIN
MEDELLIN;BAHIA SOLANO
MEDELLIN;CAUCASIA
MEDELLIN;CARTAGO
MEDELLIN;NUQUI
MEDELLIN;QUIBDO
MONTERIA;MEDELLIN
NUQUI;QUIBDO
QUIBDO;BAJO BAUDO
QUIBDO;MEDELLIN
QUIBDO;MONTERIA
SANTA ROSA DEL SUR;CAUCASIA
SANTA ROSA DEL SUR;MEDELLIN
ACANDI;MEDELLIN
BAJO BAUDO;QUIBDO
BUCARAMANGA;MEDELLIN
BAHIA SOLANO;MEDELLIN
BAHIA SOLANO;QUIBDO
CAUCASIA;CALI
CAUCASIA;MEDELLIN
AYAPEL;MEDELLIN
CARTAGO;MEDELLIN
CARTAGO;CHIA
CARTAGO;NUQUI
CALI;MEDELLIN
CONDOTO;MEDELLIN
CONDOTO;GUAPI
CAPURGANA;MEDELLIN
BARRANCABERMEJA;MEDELLIN
BARRANCABERMEJA;PUERTO BERRIO
MEDELLIN;SANTA ROSA DEL SUR
MEDELLIN;ACANDI
MEDELLIN;BAJO BAUDO
MEDELLIN;BUCARAMANGA
MEDELLIN;BAHIA SOLANO
MEDELLIN;CAUCASIA
MEDELLIN;AYAPEL
MEDELLIN;CARTAGO
MEDELLIN;CALI
MEDELLIN;CONDOTO
MEDELLIN;CAPURGANA
MEDELLIN;BARRANCABERMEJA
MEDELLIN;MEDELLIN
MEDELLIN;GUAPI
MEDELLIN;CHIA
MEDELLIN;MONTELIBANO
MEDELLIN;NUQUI
MEDELLIN;PUERTO BERRIO
MEDELLIN;POPAYAN
MEDELLIN;SAN PEDRO
MEDELLIN;QUIBDO
MEDELLIN;URRAO
GUAPI;MEDELLIN
CHIA;MEDELLIN
MONTELIBANO;MEDELLIN
NUQUI;CARTAGO
NUQUI;MEDELLIN
NUQUI;QUIBDO
PUERTO BERRIO;BARRANCABERMEJA
PUERTO BERRIO;MEDELLIN
PEREIRA;MEDELLIN
POPAYAN;PEREIRA
SAN PEDRO;MEDELLIN
QUIBDO;BAHIA SOLANO
QUIBDO;MEDELLIN
QUIBDO;NUQUI
URRAO;MEDELLIN
PUERTO GAITAN;VILLAVICENCIO
MITU;MITU
MITU;CARURU
MITU;MITU
OROCUE;MITU
SAN FELIPE;PUERTO INIRIDA
INIRIDA;MITU
SAN JOSE DEL GUAVIARE;MITU
PUERTO INIRIDA;MITU
ARARACUARA;SAN JOSE DEL GUAVIARE
GUAINIA (BARRANCO MINAS);PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);VILLAVICENCIO
CARURU;MIRAFLORES - GUAVIARE
CARURU;MITU
CARURU;MITU
CARURU;SAN JOSE DEL GUAVIARE
CARURU;SAN JOSE DEL GUAVIARE
EL YOPAL;VILLAVICENCIO
PUERTO INIRIDA;SAN FELIPE
PUERTO INIRIDA;GUAINIA (BARRANCO MINAS)
PUERTO INIRIDA;VILLAVICENCIO
LA CHORRERA;VILLAVICENCIO
LA MACARENA;SAN JOSE DEL GUAVIARE
LA MACARENA;VILLAVICENCIO
LA PEDRERA;MITU
MAPIRIPAN;VILLAVICENCIO
MITU;SAN JOSE DEL GUAVIARE
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;PACOA
MITU;MITU
MITU;MITU
MITU;MITU
MITU;SAN JOSE DEL GUAVIARE
MIRAFLORES - GUAVIARE;CARURU
MIRAFLORES - GUAVIARE;SAN JOSE DEL GUAVIARE
MIRAFLORES - GUAVIARE;VILLAVICENCIO
MITU;MITU
MITU;PACOA
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;TARAIRA
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;TARAIRA
MITU;MITU
MITU;CARURU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;OROCUE
MITU;INIRIDA
MITU;SAN JOSE DEL GUAVIARE
MITU;PUERTO INIRIDA
MITU;CARURU
MITU;LA PEDRERA
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MIRAFLORES - GUAVIARE
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;PACOA
MITU;SAN JOSE DEL GUAVIARE
MITU;TARAIRA
MITU;SAN JOSE DEL GUAVIARE
MITU;VILLAVICENCIO
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
PACOA;MITU
PUERTO CARRENO;SANTA ROSALIA
PUERTO CARRENO;VILLAVICENCIO
LA PRIMAVERA;PUERTO CARRENO
LA PRIMAVERA;SANTA ROSALIA
LA PRIMAVERA;VILLAVICENCIO
PAZ DE ARIPORO;VILLAVICENCIO
SAN JOSE DEL GUAVIARE;ARARACUARA
SAN JOSE DEL GUAVIARE;CARURU
SAN JOSE DEL GUAVIARE;MAPIRIPAN
SAN JOSE DEL GUAVIARE;MITU
SAN JOSE DEL GUAVIARE;MIRAFLORES - GUAVIARE
SAN JOSE DEL GUAVIARE;MITU
SAN JOSE DEL GUAVIARE;LA PRIMAVERA
SAN JOSE DEL GUAVIARE;SAN JOSE DEL GUAVIARE
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SANTA ROSALIA;LA PRIMAVERA
SANTA ROSALIA;VILLAVICENCIO
TARAIRA;MITU
TARAIRA;MITU
SAN JOSE DEL GUAVIARE;MITU
SAN JOSE DEL GUAVIARE;SAN JOSE DEL GUAVIARE
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;ARARACUARA
VILLAVICENCIO;GUAINIA (BARRANCO MINAS)
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;PUERTO INIRIDA
VILLAVICENCIO;LA CHORRERA
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;MIRAFLORES - GUAVIARE
VILLAVICENCIO;MITU
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;PAZ DE ARIPORO
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;SANTA ROSALIA
BARRANQUILLA;CHIA
BUCARAMANGA;CHIA
CALI;CHIA
FLANDES;CHIA
CHIA;BARRANQUILLA
CHIA;BUCARAMANGA
CHIA;CALI
CHIA;FLANDES
CHIA;CHIA
CHIA;MARIQUITA
CHIA;SAN MARTIN
MARIQUITA;CHIA
SAN MARTIN;CHIA
BOGOTA;LA MACARENA
BOGOTA;VILLAVICENCIO
LETICIA;LA PEDRERA
LETICIA;LETICIA
LA MACARENA;BOGOTA
LA MACARENA;VILLAVICENCIO
LA PEDRERA;LETICIA
LA PEDRERA;SAN JOSE DEL GUAVIARE
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
LETICIA;LETICIA
VILLAVICENCIO;BOGOTA
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;LA PEDRERA
BARRANQUILLA;RIOHACHA
BARRANQUILLA;SANTA MARTA
RIOHACHA;BARRANQUILLA
SANTA MARTA;BARRANQUILLA
SAN FELIPE;PUERTO INIRIDA
MIRITI-PARANA;LETICIA
GUAINIA (BARRANCO MINAS);PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);VILLAVICENCIO
CHIA;LA MACARENA
PUERTO INIRIDA;SAN FELIPE
PUERTO INIRIDA;GUAINIA (BARRANCO MINAS)
PUERTO INIRIDA;VILLAVICENCIO
LETICIA;LA PEDRERA
LETICIA;LETICIA
LA MACARENA;VILLAVICENCIO
LA PEDRERA;MIRITI-PARANA
LA PEDRERA;LETICIA
LA PEDRERA;MITU
MAPIRIPAN;CHIA
MITU;MITU
MITU;LA PEDRERA
MITU;MITU
MITU;VILLAVICENCIO
LETICIA;LA PEDRERA
VILLAVICENCIO;GUAINIA (BARRANCO MINAS)
VILLAVICENCIO;PUERTO INIRIDA
VILLAVICENCIO;MAPIRIPAN
VILLAVICENCIO;MITU
SAN ANDRES;MIAMI
ALEXANDRIA;BOGOTA
ST. JOHN'S;RIONEGRO - ANTIOQUIA
ESTOCOLMO;RIONEGRO - ANTIOQUIA
ATLANTA;BOGOTA
ATLANTA;RIONEGRO - ANTIOQUIA
ARUBA;RIONEGRO - ANTIOQUIA
ABU DHABI;RIONEGRO - ANTIOQUIA
TEXAS;BOGOTA
TEXAS;RIONEGRO - ANTIOQUIA
NORTE DE CAROLINA;RIONEGRO - ANTIOQUIA
BARRANQUILLA;ALABAMA
BARRANQUILLA;PARIS
BARRANQUILLA;CANCUN
BARRANQUILLA;CINCINATTI
BARRANQUILLA;QATAR
BARRANQUILLA;GAINESVILLE
BARRANQUILLA;LONDRES
BARRANQUILLA;MADRID
BARRANQUILLA;MEXICO
BARRANQUILLA;MIAMI
BARRANQUILLA;SAN JUAN
BARRANQUILLA;TEL AVIV
BARRANQUILLA;MONTREAL
BARRANQUILLA;TORONTO
BARCELONA;BOGOTA
BARCELONA;CALI
BARCELONA;RIONEGRO - ANTIOQUIA
CONNECTICUT;BOGOTA
CONNECTICUT;RIONEGRO - ANTIOQUIA
BRIDGENTOWN;RIONEGRO - ANTIOQUIA
ALABAMA;BARRANQUILLA
ALABAMA;BOGOTA
ALABAMA;RIONEGRO - ANTIOQUIA
ILLINOIS;BOGOTA
BOGOTA;NUEVO MEXICO
BOGOTA;ACAPULCO
BOGOTA;ATLANTA
BOGOTA;TEXAS
BOGOTA;BARCELONA
BOGOTA;CONNECTICUT
BOGOTA;ALABAMA
BOGOTA;ILLINOIS
BOGOTA;IDAHO
BOGOTA;BOSTON
BOGOTA;MARYLAND
BOGOTA;PARIS
BOGOTA;CHARLESTON
BOGOTA;SAUL STE
BOGOTA;OHIO
BOGOTA;NORTE DE CAROLINA
BOGOTA;OHIO
BOGOTA;BELO HORIZONTE
BOGOTA;CANCUN
BOGOTA;CINCINATTI
BOGOTA;COZUMEL
BOGOTA;YOPAL
BOGOTA;COLORADO
BOGOTA;DALAS
BOGOTA;QATAR
BOGOTA;DETROIT
BOGOTA;DUBAI
BOGOTA;CANDELARIA
BOGOTA;NEW YORK
BOGOTA;FRESNO YOSEMITE
BOGOTA;FORT LAUDERDALE
BOGOTA;FRANKFURT
BOGOTA;MICHIGAN
BOGOTA;NORTE DE CAROLINA
BOGOTA;HONOLULU
BOGOTA;WASHINGTON
BOGOTA;HOUSTON
BOGOTA;INCHEON
BOGOTA;INDIANA
BOGOTA;ESTAMBUL
BOGOTA;JACKSON
BOGOTA;FLORIDA
BOGOTA;NEW YORK
BOGOTA;KINGSTON
BOGOTA;LAS VEGAS
BOGOTA;LOS ANGELES
BOGOTA;YAGUARA
BOGOTA;LONDRES
BOGOTA;LIMA
BOGOTA;MADRID
BOGOTA;KANSAS CITY
BOGOTA;ORLANDO
BOGOTA;MEMPHIS
BOGOTA;MIAMI
BOGOTA;MITU
BOGOTA;MINNEAPOLIS
BOGOTA;NEW ORLEANS
BOGOTA;MILANO
BOGOTA;NASSAU
BOGOTA;TOKIO
BOGOTA;OKLAHOMA
BOGOTA;NEBRASKA
BOGOTA;CALIFORNIA
BOGOTA;CHICAGO
BOGOTA;NORFOLKVA BEACH
BOGOTA;OREGON
BOGOTA;PHILADELPHIA
BOGOTA;ARIZONA
BOGOTA;PITTSBURGH
BOGOTA;PENSACOLA
BOGOTA;PUERTO ESPANA
BOGOTA;CALIFORNIA
BOGOTA;RALEIGH
BOGOTA;RICHMOND
BOGOTA;RENO
BOGOTA;SAN SALVADOR
BOGOTA;SAN DIEGO
BOGOTA;SAN ANTONIO
BOGOTA;GEORGIA
BOGOTA;KENTUCKY
BOGOTA;SEATTLE
BOGOTA;SAN FRANCISCO
BOGOTA;SPRINGFIELD
BOGOTA;SAN JUAN
BOGOTA;SACRAMENTO
BOGOTA;SANTA ANA
BOGOTA;SAINT LOUIS
BOGOTA;SAN MARTIN
BOGOTA;SYDNEY
BOGOTA;TEL AVIV
BOGOTA;TAMPA
BOGOTA;OKLAHOMA
BOGOTA;ARIZONA
BOGOTA;VIEUX FORT QUARTER
BOGOTA;MONTREAL
BOGOTA;VANCOUVER
BOGOTA;CALGARY
BOGOTA;TORONTO
BOSTON;BOGOTA
BOSTON;RIONEGRO - ANTIOQUIA
NEW YORK;RIONEGRO - ANTIOQUIA
MARYLAND;BOGOTA
MARYLAND;RIONEGRO - ANTIOQUIA
BELIZE;BOGOTA
BELIZE;RIONEGRO - ANTIOQUIA
CAROLINA DEL SUR;RIONEGRO - ANTIOQUIA
SAN LUIS DE PALENQUE;BOGOTA
PARIS;BOGOTA
PARIS;CALI
PARIS;RIONEGRO - ANTIOQUIA
EL ESPINAL;RIONEGRO - ANTIOQUIA
CHARLESTON;BOGOTA
CHARLESTON;RIONEGRO - ANTIOQUIA
SAUL STE;BOGOTA
OHIO;BOGOTA
OHIO;RIONEGRO - ANTIOQUIA
CALI;ESTOCOLMO
CALI;BARCELONA
CALI;BRIDGENTOWN
CALI;BELIZE
CALI;PARIS
CALI;DALAS
CALI;NEW YORK
CALI;ROMA
CALI;LAS VEGAS
CALI;INCHEON
CALI;NEW YORK
CALI;KINGSTON
CALI;LAS VEGAS
CALI;LOS ANGELES
CALI;LONDRES
CALI;MADRID
CALI;MEXICO
CALI;MIAMI
CALI;MERIDA
CALI;NEW ORLEANS
CALI;MILANO
CALI;NASSAU
CALI;TOKIO
CALI;CHICAGO
CALI;PHILADELPHIA
CALI;PUERTO ESPANA
CALI;RIYADH
CALI;SAN JUAN
CALI;SAN MARTIN
CALI;TEL AVIV
CALI;ARIZONA
CALI;MONTREAL
CALI;TORONTO
NORTE DE CAROLINA;BOGOTA
NORTE DE CAROLINA;RIONEGRO - ANTIOQUIA
OHIO;RIONEGRO - ANTIOQUIA
COLORADO;BOGOTA
CARTAGENA;ATLANTA
CARTAGENA;TEXAS
CARTAGENA;CONNECTICUT
CARTAGENA;ALABAMA
CARTAGENA;BOSTON
CARTAGENA;BRASILIA
CARTAGENA;MARYLAND
CARTAGENA;CAROLINA DEL SUR
CARTAGENA;CHARLESTON
CARTAGENA;OHIO
CARTAGENA;NORTE DE CAROLINA
CARTAGENA;OHIO
CARTAGENA;CANCUN
CARTAGENA;CINCINATTI
CARTAGENA;COLORADO
CARTAGENA;DALAS
CARTAGENA;QATAR
CARTAGENA;DETROIT
CARTAGENA;NEW YORK
CARTAGENA;GAINESVILLE
CARTAGENA;NORTE DE CAROLINA
CARTAGENA;ALABAMA
CARTAGENA;HOUSTON
CARTAGENA;INDIANA
CARTAGENA;FLORIDA
CARTAGENA;NEW YORK
CARTAGENA;LAS VEGAS
CARTAGENA;LOS ANGELES
CARTAGENA;LONDRES
CARTAGENA;ARKANSAS
CARTAGENA;MADRID
CARTAGENA;KANSAS CITY
CARTAGENA;ORLANDO
CARTAGENA;MEMPHIS
CARTAGENA;MEXICO
CARTAGENA;MIAMI
CARTAGENA;MINNEAPOLIS
CARTAGENA;NEW ORLEANS
CARTAGENA;OKLAHOMA
CARTAGENA;CHICAGO
CARTAGENA;NORFOLKVA BEACH
CARTAGENA;PHILADELPHIA
CARTAGENA;ARIZONA
CARTAGENA;PITTSBURGH
CARTAGENA;PENSACOLA
CARTAGENA;RALEIGH
CARTAGENA;RICHMOND
CARTAGENA;ROCHETER
CARTAGENA;SAN DIEGO
CARTAGENA;SAN PEDRO SULA
CARTAGENA;SAN ANTONIO
CARTAGENA;GEORGIA
CARTAGENA;KENTUCKY
CARTAGENA;SEATTLE
CARTAGENA;SAN FRANCISCO
CARTAGENA;SAN JUAN
CARTAGENA;SAINT LOUIS
CARTAGENA;FLORIDA
CARTAGENA;TEL AVIV
CARTAGENA;TAMPA
CARTAGENA;OKLAHOMA
CARTAGENA;KNOXVILLE
CARTAGENA;ARKANSAS
CARTAGENA;MONTREAL
CARTAGENA;TORONTO
CANCUN;BOGOTA
CURACAO;RIONEGRO - ANTIOQUIA
CINCINATTI;BARRANQUILLA
CINCINATTI;RIONEGRO - ANTIOQUIA
DAYTON;BOGOTA
COLORADO;BOGOTA
COLORADO;RIONEGRO - ANTIOQUIA
DALAS;BOGOTA
DALAS;RIONEGRO - ANTIOQUIA
QATAR;BOGOTA
QATAR;CALI
QATAR;RIONEGRO - ANTIOQUIA
DETROIT;BOGOTA
DETROIT;RIONEGRO - ANTIOQUIA
DUBAI;RIONEGRO - ANTIOQUIA
CANDELARIA;BOGOTA
NEW YORK;BOGOTA
NEW YORK;RIONEGRO - ANTIOQUIA
FLORIDA;BOGOTA
FLORIDA;RIONEGRO - ANTIOQUIA
EZEIZA;BARRANQUILLA
EZEIZA;RIONEGRO - ANTIOQUIA
FRESNO YOSEMITE;BOGOTA
ROMA;BARRANQUILLA
ROMA;BOGOTA
ROMA;CALI
AIME CESAIRE;RIONEGRO - ANTIOQUIA
PARIS;RIONEGRO - ANTIOQUIA
FRANKFURT;BOGOTA
FORT SMITH;BOGOTA
GARDEN CITY;RIONEGRO - ANTIOQUIA
GRAN CAYMAN;CALI
GRAN CAYMAN;RIONEGRO - ANTIOQUIA
GEORGETOWN;CALI
GEORGETOWN;RIONEGRO - ANTIOQUIA
GRANADA;RIONEGRO - ANTIOQUIA
GAINESVILLE;BOGOTA
GAINESVILLE;RIONEGRO - ANTIOQUIA
NORTE DE CAROLINA;RIONEGRO - ANTIOQUIA
GUATEMALA;CALI
GUATEMALA;CARTAGENA
GUAYAQUIL;BARRANQUILLA
